Date,TransactionVolume,FeeIncome,InterestIncome,TotalRevenue,MarketingSpend,PersonnelCosts,TechCosts,TransactionProcessingCosts,HedgingCosts,OtherCosts,TotalCosts,GrossProfit,OperatingProfit,CAPEX,OperatingCashFlow,FreeCashFlow,CustomerCount,ActiveCustomers,NewCustomers,CAC,LTV,LTV_CAC_Ratio,MCABalances,InterestRate,BusinessVolume,PersonalVolume,AvgFeePercent,GrossMargin,OperatingMargin,TakeRate,TransactionCostRatio,TransferMargin,Month,Quarter,Year
2021-08-31,705964954,3675310,1255133,4930443,4332607,13231577,8392191,1510176,385009,4293113,32144673,3035257,-27214230,2517657,-23569057,-26086714,2016025,1765939,80389,20.53,3294.12,160.42,1095561570,0.0121,211789486,494175468,0.52,61.56,-552.17,0.70,0.27,0.43,8,3,2021
2021-09-30,756417589,3876543,1330438,5206981,4573968,13575177,8629977,1544961,394153,4379475,33098711,3267867,-27891730,2588993,-24259726,-26848719,2045844,1799782,81541,20.33,3391.26,166.84,1139384033,0.0123,228691119,527726470,0.51,62.76,-535.66,0.69,0.26,0.43,9,3,2021
2021-10-31,782800799,3952144,1410058,5362202,4829219,13929562,8878324,1580245,403418,4469172,34090050,3378539,-28727848,2663497,-24980487,-27643984,2076089,1834240,82707,20.15,3491.09,173.22,1184959394,0.0124,237731443,545069357,0.50,63.01,-535.75,0.69,0.25,0.43,10,4,2021
2021-11-30,809865827,4029215,1494204,5523419,5099161,14295065,9137554,1616260,412807,4562319,35123287,3494352,-29599868,2741266,-25733485,-28474752,2106766,1869324,83886,19.99,3593.68,179.80,1232357770,0.0125,246998074,562867753,0.50,63.26,-535.89,0.68,0.25,0.43,11,4,2021
2021-12-31,890852409,4372177,1583104,5955281,5384645,14672031,9408002,1653962,422639,4659028,36200306,3878680,-30245026,2822401,-26520173,-29342574,2137882,1905040,85078,19.80,3699.08,186.78,1281652081,0.0127,273231590,617620820,0.49,65.13,-507.88,0.67,0.23,0.44,12,4,2021
2022-01-31,834048634,4036325,1677003,5713329,5686570,15060822,9690013,1692477,432623,4759414,37321970,3588229,-31608641,2907004,-27341633,-30248637,2169444,1941409,86284,19.61,3807.35,194.19,1332918164,0.0128,257368783,576679851,0.48,62.80,-553.26,0.68,0.25,0.43,1,1,2022
2022-02-28,877285066,4184637,1776161,5960798,6005886,15461810,9984046,1732007,442760,4863602,38490111,3786031,-32529313,2995214,-28199045,-31194259,2201458,1978436,87504,19.43,3918.53,201.64,1386234891,0.0130,271957370,605327696,0.48,63.52,-545.72,0.68,0.25,0.43,2,1,2022
2022-03-31,930944631,4374038,1881855,6255893,6343604,15875377,10290465,1772694,453254,4971712,39707104,4029945,-33451211,3087139,-29093293,-32180432,2233932,2016131,88737,19.29,4032.68,209.04,1441684286,0.0131,290655325,640289306,0.47,64.42,-534.65,0.67,0.24,0.43,3,1,2022
2022-04-30,975838909,4537653,1994376,6532029,6701804,16302016,10609647,1815168,464112,5084066,40976815,4252749,-34444785,3182894,-30025888,-33208782,2266873,2054502,89986,19.13,4149.89,216.90,1499351658,0.0132,307892362,667946547,0.46,65.11,-527.27,0.67,0.23,0.44,4,2,2022
2022-05-31,1024630855,4707778,2114042,6821819,7081644,16742230,10942076,1859561,475346,5201088,42301945,4486913,-35480125,3282623,-30996889,-34279512,2300287,2093555,91250,18.98,4270.21,225.02,1559325724,0.0134,325934962,698695893,0.46,65.77,-520.09,0.67,0.23,0.44,5,2,2022
2022-06-30,1094602414,4971637,2241193,7212830,7484353,17196534,11288244,1906130,487088,5323007,43685357,4819612,-36472526,3386473,-32006786,-35393259,2334182,2133300,92530,18.84,4393.74,233.20,1621698753,0.0135,351565576,743036839,0.45,66.82,-505.66,0.66,0.22,0.44,6,2,2022
2022-07-31,1127440486,5055721,2376203,7431924,7911237,17665459,11648655,1952972,499092,5450055,45127470,4979860,-37695545,3494596,-33056902,-36551499,2368563,2173747,91826,18.78,4520.55,240.71,1686566703,0.0136,365174517,762265969,0.45,67.01,-507.21,0.66,0.22,0.44,7,3,2022
2022-08-31,1161163701,5141274,2519467,7660741,8361672,18149552,12023833,2001362,511401,5582463,46630283,5147978,-38969543,3607150,-34139370,-37746520,2403438,2214906,91123,18.73,4650.71,248.26,1754029371,0.0138,379100330,782063371,0.44,67.20,-508.69,0.66,0.22,0.44,8,3,2022
2022-09-30,1242946060,5431787,2671411,8103198,8838158,18649272,12414312,2051683,524152,5720485,48198062,5527363,-40094864,3724293,-35254903,-38979196,2438814,2256788,90418,18.67,4784.27,256.20,1824190546,0.0139,409291659,833654401,0.44,68.21,-494.82,0.65,0.21,0.44,9,3,2022
2022-10-31,1287948672,5557291,2832492,8389784,9141935,19165095,12821654,2103972,537147,5864298,49634102,5748665,-41244319,3846496,-36405626,-40252123,2474699,2299403,89712,18.61,4921.29,264.31,1897158168,0.0140,428489688,859458985,0.43,68.52,-491.60,0.65,0.21,0.44,10,4,2022
2022-11-30,1334163875,5686016,3003198,8689214,9396602,19697512,13246430,2158280,550553,6014150,51063529,5980380,-42374315,3973929,-37593357,-41567286,2511101,2342765,89006,18.56,5061.85,272.75,1973044495,0.0142,448209384,885954491,0.43,68.83,-487.65,0.65,0.20,0.45,11,4,2022
2022-12-31,1467580263,6153834,3184050,9337884,9533352,20246026,13689237,2214740,564260,6170299,52417913,6558884,-43080029,4106771,-38817760,-42924531,2548028,2386875,88300,18.50,5206.03,281.44,2051946274,0.0143,497974209,969606054,0.42,70.24,-461.33,0.64,0.19,0.45,12,4,2022
2023-01-31,1374989647,5689205,3375604,9064810,9471452,20810758,14151087,2268876,577459,6332956,53612588,6218475,-44547778,4245326,-40080066,-44325393,2585488,2431747,87600,18.45,5353.92,290.15,2134024125,0.0145,471222968,903766679,0.41,68.60,-491.42,0.66,0.21,0.45,1,1,2023
2023-02-28,1446173498,5906159,3578451,9484610,9243347,21392437,14632704,2325196,591042,6502396,54687123,6568372,-45202513,4389811,-40801364,-45191175,2623489,2477396,86906,18.39,5505.58,299.31,2219385090,0.0146,499570086,946603412,0.41,69.25,-476.58,0.66,0.20,0.45,2,1,2023
2023-03-31,1535308108,6178290,3793208,9971498,8863297,21991300,15134919,2384042,605094,6678904,55657556,6982362,-45686058,4540476,-41562883,-46103359,2662039,2523830,86218,18.33,5661.08,308.78,2308160494,0.0148,533685721,1001622387,0.40,70.02,-458.16,0.65,0.19,0.46,3,1,2023
2023-04-30,1609422274,6393023,4020541,10413564,8432407,22607694,15658579,2443608,619482,6862772,56624542,7350474,-46210977,4697574,-42366118,-47063692,2701145,2570955,85534,18.28,5820.47,318.41,2400486913,0.0149,564923057,1044499217,0.40,70.59,-443.76,0.65,0.19,0.46,4,2,2023
2023-05-31,1689893387,6618219,4261154,10879373,7963371,23242074,16204640,2505223,634343,7054299,57603949,7739807,-46724576,4861392,-43213066,-48074458,2740816,2618784,84856,18.24,5983.84,328.04,2496506390,0.0151,598305449,1091587938,0.39,71.14,-429.48,0.64,0.19,0.46,5,2,2023
2023-06-30,1806485724,6978765,4516120,11494885,7467313,23894897,16774074,2569170,649681,7253798,58608932,8276035,-47114047,5032222,-44104648,-49136870,2781061,2667333,84185,18.19,6151.25,338.11,2596366645,0.0152,644115163,1162370561,0.39,72.00,-409.87,0.64,0.18,0.46,6,2,2023
2023-07-31,1860680296,7080134,4786567,11866701,6954822,24566638,17367872,2633604,665324,7461585,59649845,8567773,-47783144,5210362,-45042911,-50253273,2821887,2716612,83518,18.14,6322.81,348.62,2700221311,0.0154,669205026,1191475270,0.38,72.20,-402.66,0.64,0.18,0.46,7,3,2023
2023-08-31,1916600704,7183821,5073761,12257582,6434881,25257796,17987059,2699805,681402,7677990,60738934,8876375,-48481351,5396118,-46028037,-51424155,2863303,2766639,82859,18.10,6498.58,359.08,2808230164,0.0155,694615815,1221984890,0.37,72.42,-395.53,0.64,0.18,0.46,8,3,2023
2023-09-30,2051362753,7580359,5378998,12959358,5914855,25968897,18632694,2767671,697892,7903354,61885363,9493795,-48926006,5589808,-47061038,-52650847,2905318,2817430,82207,18.06,6678.65,369.85,2920559370,0.0157,749047606,1302315147,0.37,73.26,-377.53,0.63,0.17,0.46,9,3,2023
2023-10-31,2123661850,7719271,5703613,13422885,5397428,26700502,19305876,2837651,714870,8138032,63094357,9870363,-49671473,5791763,-48143842,-53935605,2947939,2869001,81563,18.02,6863.08,380.88,3037381745,0.0158,782108861,1341552988,0.36,73.53,-370.05,0.63,0.17,0.46,10,4,2023
2023-11-30,2198192014,7861508,6049084,13910592,4886507,27453190,20008733,2908957,732223,8382398,64371835,10269412,-50461243,6002620,-49275996,-55278616,2991175,2921372,80927,17.98,7052.04,392.29,3158877015,0.0160,815904835,1382287179,0.36,73.83,-362.75,0.63,0.17,0.47,11,4,2023
2023-12-31,2417995176,8502659,6416939,14919598,4384269,28227557,20742431,2983255,750131,8636844,65725236,11186212,-50805638,6222729,-50458139,-56680869,3035034,2974558,80298,17.93,7245.58,404.08,3285232096,0.0161,907247691,1510747486,0.35,74.98,-340.53,0.62,0.15,0.46,12,4,2023
